global_time,crystal,edep,x,y,z,slice_sect,time
 4530301172.71868,25,154.804,-97.932,242.640,-160.898,43,84717033.668
 4530301172.71868,25,605.181,-120.400,181.477,-126.251,12,84717033.399
 4530301172.71868,24,208.423,-154.109,171.202,-176.730,35,84717033.604
 4615018205.27810,36,763.932,52.755,-210.043,-181.366,32,72663841.265
 4687682045.60078,33,438.856,-129.739,-142.582,-175.075,25,33638904.464
 4721320949.19541,28,1064.146,-183.049,74.796,-212.271,30,337610.623
 4721320949.19541,28,60.190,-182.387,74.924,-212.259,30,337610.625
 4721320949.19541,28,47.243,-180.518,73.067,-212.691,30,337610.634
 4721320949.19541,28,161.421,-175.679,75.468,-211.743,30,337610.653
 5005935700.91655,44,1066.158,149.394,-56.157,-178.739,01,4374110.208
 5005935700.91655,35,33.883,-59.751,-151.656,-188.179,12,4374111.051
 5005935700.91655,35,162.104,-69.095,-152.832,-188.148,11,4374111.084
 5005935700.91655,3,242.973,-3.514,37.091,-299.886,43,4374110.418
 5005935700.91655,3,188.208,-7.409,38.013,-306.181,43,4374110.443
 5405325780.05732,30,850.429,-208.598,-112.867,-167.805,34,32838854.482
 5405325780.05732,2,932.305,107.706,48.231,-214.697,04,32838854.330
 5797256346.35335,37,236.058,-33.936,-214.132,-157.872,24,102632185.403
 5797256346.35335,37,473.683,-31.345,-220.771,-165.048,35,102632185.437
 5797256346.35335,37,73.310,-31.664,-221.894,-165.137,35,102632185.441
 5797256346.35335,37,46.126,-33.644,-224.977,-166.978,34,102632185.454
 5797256346.35335,37,29.715,-33.959,-226.884,-168.603,34,102632185.463
 5797256346.35335,37,126.945,-35.848,-229.916,-170.668,34,102632185.477
 5797256346.35335,37,100.314,-36.539,-231.765,-169.902,34,102632185.484
 5797256346.35335,37,8.723,-54.911,-230.167,-158.835,34,102632185.555
 5797256346.35335,37,35.590,-55.843,-230.250,-158.677,34,102632185.559
 6096778092.71612,13,56.936,154.965,-24.133,-263.765,44,10552926.108
 6129488900.46662,11,264.278,-14.360,-120.616,-216.567,11,175900619.183
 6129488900.46662,11,657.686,-14.787,-121.216,-217.125,11,175900619.186
 6129488900.46662,10,105.179,-4.849,-113.144,-224.528,15,175900619.236
 6129488900.46662,10,51.986,-7.463,-115.444,-227.096,15,175900619.250
 6129488900.46662,10,22.071,-6.933,-115.029,-226.534,15,175900619.253
 6129488900.46662,10,70.800,-7.025,-115.547,-226.882,15,175900619.255
 6382380305.82855,44,440.741,159.946,-63.031,-211.412,22,55329600.374
 6382380305.82855,44,679.017,161.636,-62.782,-212.133,22,55329600.380
 6382380305.82855,44,213.242,141.628,-53.410,-191.214,03,55329600.482
 6437709905.29156,29,772.051,-172.329,30.308,-166.211,00,41143185.806
 6437709905.29156,29,205.122,-172.982,48.566,-176.599,10,41143185.876
 6437709905.29156,29,355.827,-177.887,51.390,-176.825,10,41143185.895
