cr,slice,sect,x,y,z,vol
5,1,1,-29.09976,119.97385,-221.52902,6582.00000
5,1,2,-17.92388,137.78176,-211.73909,6607.00000
5,1,3,4.62856,138.35622,-211.97944,6575.00000
5,1,4,16.72147,121.60866,-221.73800,6611.00000
5,1,5,5.33445,104.96788,-230.83255,6553.00000
5,2,0,-18.28391,110.29221,-242.78581,9830.00000
5,2,1,-29.91089,126.59108,-233.30898,9913.00000
5,2,2,-18.51275,144.73632,-223.33904,9904.00000
5,2,3,4.57543,145.32303,-223.58906,9904.00000
5,2,4,16.93794,128.17265,-233.55169,9948.00000
5,2,5,5.33890,111.21368,-242.85576,9820.00000
5,3,0,-19.44312,116.88729,-257.56981,12624.00000
5,3,1,-31.96077,134.40808,-247.37954,12691.00000
5,3,2,-19.77207,153.90183,-236.68677,12778.00000
5,3,3,5.09178,154.53484,-236.94739,12757.00000
5,3,4,18.19915,136.02011,-247.70036,12667.00000
5,3,5,5.94691,117.81119,-257.68854,12698.00000
5,4,0,-20.08963,124.57508,-272.94507,13637.00000
5,4,1,-33.18527,142.91901,-262.26637,13632.00000
5,4,2,-20.80237,163.07443,-251.22647,13999.00000
5,4,3,5.32200,163.79598,-251.45109,14094.00000
5,4,4,18.61659,144.48027,-262.68077,13520.00000
5,4,5,6.08582,125.38203,-273.13316,13875.00000
5,5,0,-20.32067,132.65515,-288.05409,13851.00000
5,5,1,-33.81220,151.54522,-277.06564,13774.00000
5,5,2,-21.56563,171.79975,-265.93054,14555.00000
5,5,3,5.23914,172.52000,-266.17428,14685.00000
5,5,4,18.48111,153.03324,-277.51642,13628.00000
5,5,5,5.65265,133.39448,-288.27360,14181.00000
6,0,0,-74.51783,8.48150,-230.51980,6485.00000
6,0,1,-69.14669,27.11627,-230.59295,6593.00000
6,0,2,-50.56121,31.09834,-234.58814,6427.00000
6,0,3,-38.74367,17.61562,-238.15550,5882.00000
6,0,4,-42.87486,1.28196,-238.20843,6079.00000
6,0,5,-60.79575,-4.55401,-234.46868,6508.00000
6,1,0,-80.46503,8.16311,-240.52490,6676.00000
6,1,1,-74.02014,30.50260,-240.60850,6775.00000
6,1,2,-51.77417,35.24012,-245.40945,6624.00000
6,1,3,-37.60609,19.07354,-249.66586,6022.00000
6,1,4,-42.55077,-0.52624,-249.75160,6217.00000
6,1,5,-63.99886,-7.44332,-245.26980,6740.00000
6,2,0,-83.96535,8.82086,-253.58650,10082.00000
6,2,1,-77.42008,31.67177,-253.65969,10198.00000
6,2,2,-54.72739,36.53834,-258.55019,9947.00000
6,2,3,-40.23642,19.99103,-262.90457,9054.00000
6,2,4,-45.25733,-0.08757,-263.01057,9362.00000
6,2,5,-67.14691,-7.15135,-258.43780,10142.00000
6,3,0,-89.22800,9.30860,-268.95100,13026.00000
6,3,1,-82.16979,33.88980,-269.02792,13123.00000
6,3,2,-57.83968,39.13418,-274.26936,12760.00000
6,3,3,-42.19353,21.30943,-278.97101,11656.00000
6,3,4,-47.72791,-0.29302,-279.05162,11964.00000
6,3,5,-71.12353,-7.88322,-274.16311,13076.00000
6,4,0,-94.08242,10.03946,-285.44439,14312.00000
6,4,1,-86.72054,35.67506,-285.53399,14344.00000
6,4,2,-61.45311,41.18554,-290.97116,13895.00000
6,4,3,-45.20912,22.70705,-295.83182,12676.00000
6,4,4,-51.18042,-0.04026,-295.89696,12813.00000
6,4,5,-75.19545,-7.93585,-290.89017,14329.00000
6,5,0,-98.32714,10.98426,-301.99243,14802.00000
6,5,1,-90.85306,37.04288,-302.08532,14824.00000
