crystal,edep,x,y,z,slice_sect,time
38,127.456,20.597,-160.730,-227.004,34,20967607.670
12,563.138,66.479,-65.380,-278.400,41,48211770.793
15,590.387,264.466,74.246,-166.665,52,252245958.224
9,832.726,-10.607,-71.382,-234.129,00,75572827.310
9,52.106,-7.505,-68.431,-237.143,05,75572827.327
9,41.231,-4.329,-67.488,-238.424,05,75572827.339
10,255.549,10.141,-75.573,-247.027,11,75572827.407
34,805.815,-114.194,-108.543,-253.433,44,10924545.093
34,159.754,-115.968,-107.968,-252.919,44,10924545.100
34,206.431,-116.820,-126.518,-253.158,44,10924545.162
38,192.048,-19.418,-156.339,-201.274,12,57792882.008
38,486.069,-25.599,-162.106,-212.835,22,57792882.055
38,185.770,-8.116,-199.217,-225.366,41,57792882.198
38,63.314,-5.859,-202.088,-220.726,40,57792882.218
38,244.798,-10.504,-198.004,-188.344,20,57792882.329
36,884.388,73.681,-205.635,-155.621,23,112440280.275
36,86.646,74.030,-206.112,-155.090,23,112440280.278
36,45.616,73.675,-208.620,-153.890,23,112440280.287
18,258.168,87.888,200.813,-167.904,23,15317360.955
16,90.965,162.238,51.776,-185.468,10,46913083.609
16,620.288,185.463,52.012,-225.069,40,46913083.762
16,207.983,205.698,45.009,-219.899,40,46913083.836
16,23.404,212.544,57.793,-222.911,50,46913083.885
16,7.795,212.570,58.169,-223.288,50,46913083.887
16,57.288,211.922,59.310,-226.262,50,46913083.898
14,1026.837,73.001,-95.294,-230.697,24,368024592.651
14,157.607,76.085,-83.083,-232.991,15,368024592.694
14,148.556,74.726,-89.670,-225.264,14,368024592.728
32,330.113,-132.594,-64.726,-216.949,24,368024592.659
7,324.792,-134.162,-82.876,-249.815,44,368024592.784
34,203.948,-120.108,-108.350,-257.925,44,368024592.885
1,1117.166,66.994,94.670,-207.182,05,133183527.969
32,211.819,-182.692,-64.278,-226.955,45,133183528.171
32,743.561,-183.015,-64.698,-227.420,45,133183528.173
32,216.620,-178.262,-65.242,-220.709,35,133183528.201
19,625.947,158.299,125.927,-145.943,14,225268558.238
19,488.347,153.552,163.428,-169.624,35,225268558.387
19,218.707,170.305,143.410,-174.583,34,225268558.476
2,27.259,135.831,108.960,-268.867,52,225268558.471
18,76.844,126.459,201.216,-210.044,50,225268559.020
18,29.947,126.712,198.304,-210.765,50,225268559.030
18,85.264,127.004,199.834,-210.842,50,225268559.035
23,1041.870,-57.315,219.551,-205.863,44,2875743.567
23,82.045,-36.583,221.032,-200.193,45,2875743.639
23,209.085,-24.231,225.785,-218.556,50,2875743.714
3,476.267,-25.784,28.485,-267.037,24,738856.680
34,295.951,-130.563,-83.963,-222.579,23,59781465.262
34,252.564,-130.760,-84.153,-222.733,23,59781465.263
34,481.469,-131.497,-89.619,-227.369,33,59781465.287
7,550.805,-97.283,-67.395,-255.739,33,132637835.570
7,366.470,-81.763,-81.315,-279.110,42,132637835.674
7,83.442,-78.134,-87.088,-270.473,42,132637835.711
7,171.283,-77.865,-87.270,-270.660,42,132637835.712
3,1060.530,-35.484,44.704,-239.500,05,70611583.527
3,89.021,-34.176,42.361,-238.664,05,70611583.537
3,183.449,11.100,58.411,-253.924,22,70611583.705
7,264.655,-72.998,-62.466,-226.612,02,150498945.231
11,642.516,-78.144,-105.578,-274.362,45,150498945.447
11,264.829,-72.860,-107.609,-269.167,45,150498945.472
36,209.083,39.877,-175.087,-183.004,11,83127517.247
