global_time,crystal,edep,x,y,z,slice_sect,time
 9419658386.16333,44,1095.524,179.311,-34.823,-194.682,25,49695497.196
 9419658386.16333,32,30.647,-133.937,-61.330,-197.736,04,49695498.252
 9419658386.16333,32,56.067,-147.560,-63.045,-193.198,15,49695498.300
 9419658386.16333,32,142.262,-156.664,-50.786,-217.270,23,49695498.395
 9710423469.61302,10,564.420,32.464,-115.869,-265.557,32,102473014.886
 9710423469.61302,10,302.954,43.437,-111.892,-278.779,42,102473014.945
 9710423469.61302,10,102.327,43.451,-117.150,-281.739,42,102473014.965
 9710423469.61302,10,202.298,52.415,-117.496,-286.349,52,102473014.999
 9899546715.31243,35,872.575,-50.116,-161.011,-206.131,22,28598461.053
 9899546715.31243,38,33.308,-38.123,-156.714,-208.386,22,28598461.100
 9928145175.47727,19,132.080,115.606,171.210,-140.176,11,22605164.982
 9928145175.47727,19,94.057,121.189,176.906,-149.275,21,22605165.022
 9928145175.47727,19,747.837,121.891,178.431,-150.782,21,22605165.030
 9928145175.47727,31,403.186,-191.604,-21.360,-139.723,04,22605164.942
 9928145175.47727,31,536.297,-238.517,-37.809,-140.105,33,22605165.108
 9928145175.47727,31,52.924,-221.408,-47.875,-129.186,22,22605165.184
 9928145175.47727,31,46.169,-221.228,-46.382,-123.970,12,22605165.202
 9928145175.47727,31,46.447,-223.064,-37.989,-126.340,23,22605165.232
 9928145175.47727,31,86.978,-222.188,-42.223,-123.634,12,22605165.249
 9950750339.62539,42,162.068,173.015,-26.041,-168.214,01,182346651.021
 9950750339.62539,42,142.340,234.375,-40.285,-195.036,40,182346651.250
 10133096989.83724,34,1069.388,-101.190,-131.513,-241.183,45,18451311.388
 10133096989.83724,34,129.016,-107.595,-132.414,-228.268,35,18451311.436
 10133096989.83724,34,134.597,-103.128,-133.813,-239.916,45,18451311.478
 10133096989.83724,32,568.465,-145.818,-31.675,-182.848,02,18451311.199
 10133096989.83724,32,400.229,-144.671,-29.942,-188.916,02,18451311.220
 10133096989.83724,32,68.979,-144.031,-32.623,-187.615,02,18451311.230
 10133096989.83724,32,33.167,-138.510,-30.264,-189.732,02,18451311.251
 10133096989.83724,32,101.160,-141.236,-35.942,-187.907,03,18451311.273
 10151548300.24861,22,851.009,39.240,151.968,-183.541,02,88372218.080
 10467924167.17236,4,829.899,-67.568,76.933,-302.415,51,109444131.651
 10467924167.17236,4,342.101,-78.231,80.046,-298.724,51,109444131.690
 10723729767.46681,3,780.780,-18.111,47.222,-246.565,14,280030255.241
 10723729767.46681,3,228.916,8.266,67.897,-247.960,12,280030255.353
 10723729767.46681,3,162.304,5.188,56.269,-246.689,12,280030255.393
 11003760021.86841,28,934.573,-175.611,65.898,-264.614,55,36102527.355
 11003760021.86841,29,83.502,-157.331,11.073,-189.926,12,36102527.670
 11003760021.86841,29,153.925,-157.341,11.071,-189.930,12,36102527.670
 11039862548.14100,13,643.853,102.072,0.394,-264.667,32,66235975.281
 11039862548.14100,13,194.480,125.063,9.398,-268.524,43,66235975.365
 11039862548.14100,13,136.232,132.482,4.476,-263.814,43,66235975.398
 11039862548.14100,13,85.228,137.003,12.026,-263.562,43,66235975.428
 11039862548.14100,13,112.207,125.138,5.770,-262.678,33,66235975.473
