num_of_inter,noth,crystal,edep,x,y,z,slice_sect,time
3,65,109.257,-187.455,198.282,-22.388,35,1.099
2,123,80.000,-119.023,-203.095,43.664,05,0.799
4,20,154.238,105.037,138.154,-183.119,15,0.843
4,18,3.589,107.148,147.067,-183.538,11,0.873
5,18,280.526,107.594,148.711,-184.046,21,0.879
1,123,80.000,-95.584,-207.672,81.840,03,0.810
4,86,90.713,178.580,-211.902,-28.720,33,0.929
3,134,214.496,200.960,-217.035,-24.600,41,1.007
1,134,174.791,200.380,-217.327,-24.299,41,1.010
5,144,84.534,-36.306,191.311,140.662,03,2.252
5,144,114.768,-36.376,191.168,140.644,03,2.252
2,82,1296.490,117.631,-264.336,-36.763,32,0.973
2,82,195.971,121.887,-262.667,-34.057,32,0.991
5,82,187.539,122.110,-278.063,-37.062,42,1.043
1,87,80.000,203.990,-78.503,-87.785,04,0.786
4,153,298.479,-140.950,-136.537,143.534,01,0.811
1,153,87.421,-133.377,-138.483,139.288,01,0.841
3,153,94.100,-133.990,-138.391,139.447,01,0.843
3,65,40.199,-190.024,205.950,30.667,32,0.940
1,42,703.197,188.858,-47.165,-149.536,03,0.819
1,42,124.989,198.469,-37.954,-151.854,13,0.864
5,42,243.022,208.546,-36.848,-160.091,23,0.907
1,42,82.886,209.347,-30.958,-153.748,23,0.936
2,42,20.910,209.368,-30.956,-153.787,23,0.937
5,25,1007.501,-81.773,172.063,-166.129,10,0.843
3,25,288.513,-81.263,172.600,-166.535,10,0.846
4,25,3.259,-80.118,173.419,-165.575,10,0.852
1,25,19.033,-61.557,188.719,-144.033,04,0.959
1,25,152.503,-56.616,191.990,-132.691,03,1.002
1,25,88.239,-62.779,187.497,-130.557,03,1.028
3,25,21.647,-58.603,196.607,-131.798,03,1.062
2,25,99.304,-57.745,197.449,-127.924,03,1.076
1,102,16.632,4.350,221.584,89.932,04,0.798
2,102,6.490,4.630,221.538,89.940,04,0.799
5,102,56.878,4.671,221.349,90.338,04,0.800
4,51,231.850,156.569,186.567,-71.406,15,0.847
2,51,68.985,160.594,183.390,-72.638,15,0.864
4,51,61.750,161.436,184.241,-72.978,15,0.868
1,51,117.415,161.450,184.165,-73.042,15,0.869
3,160,50.116,86.740,-136.172,220.080,25,0.910
4,160,544.366,87.113,-138.682,223.061,35,0.924
3,160,285.518,107.466,-152.920,199.813,20,1.037
1,73,1025.144,-238.628,-170.309,-50.217,41,0.992
3,72,80.322,-234.976,-148.158,-53.507,35,1.068
5,72,174.534,-232.124,-148.793,-58.561,35,1.087
3,81,219.394,26.184,-233.343,-32.521,01,0.791
5,81,260.606,31.750,-233.424,-32.785,01,0.809
5,105,153.071,-38.979,226.086,68.760,04,0.869
4,58,1367.884,8.391,224.626,-110.115,11,0.835
4,57,141.964,21.457,228.691,-88.096,00,0.921
2,57,70.883,21.402,231.626,-91.026,10,0.935
5,57,99.270,21.840,229.852,-90.336,10,0.942
3,47,80.000,234.556,-26.056,9.353,01,0.788
2,74,281.930,-240.850,-116.848,33.869,22,0.900
4,74,83.380,-233.682,-125.208,41.834,22,0.945
2,74,114.690,-237.216,-129.460,31.457,22,0.985
4,58,178.092,23.881,209.231,-115.886,01,0.802
4,58,196.268,12.540,235.310,-122.640,21,0.899
1,59,208.212,2.793,298.665,-87.716,50,1.143
1,59,145.092,-20.080,295.134,-67.254,42,1.246
2,59,51.452,-19.980,295.667,-67.775,42,1.248
3,59,100.884,-19.684,295.215,-67.259,42,1.251
4,138,484.318,168.531,114.623,155.478,13,0.855
2,138,446.677,186.054,112.549,161.508,23,0.917
4,138,33.594,183.443,116.795,179.523,32,0.980
4,138,315.411,180.653,125.236,187.637,32,1.020
4,28,480.000,-121.005,100.569,-182.847,01,0.805
4,164,384.100,154.543,-93.891,250.490,44,1.148
2,14,447.876,105.306,-100.005,-207.380,12,0.844
4,44,550.736,136.434,-85.292,-251.365,43,1.031
2,44,281.388,144.087,-83.353,-240.752,43,1.075
2,152,183.893,-145.750,-37.902,192.304,03,0.815
3,151,348.517,-181.354,-102.280,152.023,14,0.860
