edep,crystal,slice_sect,num_of_int
577.939,98,31,1
298.999,98,41,1
1459.509,86,2,2
220.491,86,1,1
152.065,86,2,1
80.0,49,1,1
73.927,0,11,1
240.464,2,50,5
429.883,141,21,1
39.492,143,25,1
8.363,143,35,1
402.263,143,30,1
83.566,121,22,1
577.621,48,10,1
618.349,50,30,1
291.019,50,31,2
193.01,50,21,1
80.0,14,5,1
103.47,141,10,1
210.546,141,21,1
22.054,141,11,1
143.93,141,20,1
301.971,91,10,1
408.46400000000006,91,21,3
120.578,91,30,1
48.987,91,31,1
118.955,91,21,2
75.983,123,52,1
204.995,65,5,1
17.325,110,21,1
257.68,110,22,2
650.8789999999999,109,4,2
229.121,138,4,1
693.87,65,42,1
586.13,65,51,3
64.574,3,3,1
117.25,83,10,1
53.515,81,31,1
181.857,81,41,1
114.038,86,41,1
80.0,157,4,2
387.361,50,23,1
492.64,97,45,3
355.8,51,32,1
202.959,153,20,1
1129.092,153,50,1
80.0,122,0,1
171.719,132,2,1
596.539,110,1,1
178.327,110,11,1
168.38,110,12,2
336.755,145,33,5
80.0,109,2,2
297.858,122,5,1
139.737,120,1,1
623.3,36,33,3
256.7,36,32,1
442.704,122,12,1
299.59,74,53,2
112.4,74,55,2
374.16,30,22,1
948.215,30,42,1
80.0,151,4,1
23.185,122,1,1
30.675,122,11,1
10.223,122,30,1
46.278,122,40,1
29.678,122,35,1
93.32,120,31,1
672.59,100,2,3
207.41,100,12,2
144.294,100,2,1
296.847,132,11,1
693.634,134,45,2
64.061,91,41,1
100.992,132,42,1
1680.0,16,32,4
80.0,158,5,1
352.497,70,0,1
47.423,70,15,1
283.344,116,24,2
196.737,116,34,2
99.369,1,5,1
271.703,1,15,1
253.536,60,0,1
143.358,20,22,1
336.642,17,32,1
564.36,6,0,1
468.471,6,15,1
247.16899999999998,8,20,4
320.871,34,1,1
351.918,34,31,1
637.107,42,5,1
505.849,87,22,2
137.044,87,32,1
295.609,87,22,1
71.503,89,21,1
96.093,162,10,1
220.555,162,30,2
163.352,162,35,1
444.082,152,23,1
347.595,106,14,1
271.058,55,24,1
185.818,106,44,1
784.872,117,23,1
99.082,150,45,1
240.709,150,55,3
1542.0439999999999,124,40,5
137.956,124,50,1
80.0,41,4,1
257.698,90,54,1
222.302,90,44,1
701.803,44,44,2
229.883,44,55,1
57.219,25,44,1
80.0,34,0,1
653.87,71,50,2
127.899,148,1,1
115.801,148,21,1
80.0,135,5,1
232.211,147,12,1
247.789,147,13,1
83.125,39,12,1
289.346,39,43,1
125.806,39,54,1
799.741,9,54,1
173.121,9,53,1
80.0,37,4,1
256.565,138,25,1
223.435,138,10,1
360.311,154,25,1
106.743,154,30,1
828.936,143,10,3
176.499,143,30,1
62.539,143,34,2
212.02499999999998,143,23,3
1094.756,156,3,1
189.523,156,13,1
14.13,83,10,1
287.947,81,10,4
16.038,83,20,1
77.606,81,20,2
18.646,100,4,1
461.353,100,31,3
16.796,13,0,1
641.412,13,30,2
21.822,12,20,1
18.724,12,10,1
181.245,14,0,3
504.347,63,13,1
578.5649999999999,63,45,2
197.08999999999997,63,35,4
74.551,94,25,1
480.0,151,13,2
257.656,55,25,3
1078.174,124,15,2
33.518,124,5,1
4.261,77,3,1
164.046,77,14,2
184.111,11,25,1
